2020-10-15 05:49:58, INFO: Current git head hash code: %s
2020-10-15 05:49:58, INFO: Using device: cpu
2020-10-15 05:49:58, INFO: Policy: SARL w/ global state
2020-10-15 05:49:58, INFO: human number: 9
2020-10-15 05:49:58, INFO: Not randomize human's radius and preferred speed
2020-10-15 05:49:58, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2020-10-15 05:49:58, INFO: Square width: 10.0, circle width: 4.0
2020-10-15 05:49:58, INFO: Load imitation learning trained weights.
2020-10-15 05:49:58, INFO: Agent is invisible and has holonomic kinematic constraint
2020-10-15 05:49:58, INFO: Current learning rate: 0.001000
2020-10-15 06:01:59, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1296
2020-10-15 06:02:05, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0298
2020-10-15 06:02:12, INFO: TRAIN in episode 43 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0027
2020-10-15 06:02:19, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:02:27, INFO: TRAIN in episode 45 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:02:36, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:02:44, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0146
2020-10-15 06:02:51, INFO: TRAIN in episode 48 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:03:03, INFO: TRAIN in episode 49 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0094
2020-10-15 06:03:09, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:03:19, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:03:26, INFO: TRAIN in episode 52 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:03:42, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:03:55, INFO: TRAIN in episode 54 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:04, INFO: TRAIN in episode 55 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:13, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-10-15 06:04:20, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0008
